id,name,location,budget,head_id
1,Engineering,Lake Tanya,152140,6403
2,Marketing,Mooreland,424401,7851
3,Sales,North Rachel,469055,8982
4,Finance,Youngfort,157387,3828
5,HR,Lake Kathleen,401965,5059
6,Operations,Graychester,311144,5650
7,IT,South Julian,385091,2993
8,Legal,Williamsberg,465725,5695
9,Support,Lake Johnathanburgh,132425,3296
10,Product,West Jonathanhaven,77195,5894
11,Design,New Victortown,487048,2958
12,Research,Robertville,306711,1401
13,Admin,Cathyfort,337918,2479
